CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,CodingScore,PlacementStatus
8.24,0,3,1,79,4.48,No,Yes,61,83,4,NotPlaced
7.04,1,2,2,72,4.79,No,No,59,76,6,NotPlaced
7.06,1,2,2,74,3.81,No,Yes,62,81,4,NotPlaced
8.15,2,3,1,86,4.69,Yes,Yes,84,82,24,Placed
7.28,1,3,0,75,4.19,No,No,63,69,12,NotPlaced
7.7,2,3,2,87,4.78,Yes,Yes,68,74,28,Placed
7.16,1,3,1,74,3.94,No,Yes,73,80,7,NotPlaced
8.36,2,2,2,88,4.34,Yes,Yes,73,71,19,Placed
7.15,2,2,2,76,3.72,No,No,57,64,11,NotPlaced
8.1,1,2,0,83,4.4,No,No,58,76,15,NotPlaced
7.54,2,3,0,86,4.29,Yes,Yes,69,80,28,Placed
8.06,2,3,0,77,4.09,No,No,61,76,15,NotPlaced
7.64,1,3,2,74,3.72,Yes,No,68,66,16,NotPlaced
8.28,0,2,2,74,4.3,No,Yes,71,71,11,NotPlaced
7.81,1,3,2,85,4.28,Yes,Yes,71,84,22,Placed
8.44,2,3,0,84,4.51,Yes,Yes,77,79,20,Placed
7.22,0,2,2,71,3.77,Yes,No,66,72,8,NotPlaced
7.78,1,2,2,82,4.24,Yes,No,55,70,12,NotPlaced
7.54,1,1,0,76,3.85,No,Yes,60,68,5,NotPlaced
7.96,1,3,2,81,4.32,Yes,Yes,86,83,20,Placed
7.48,1,2,2,76,4.36,No,No,65,66,14,NotPlaced
7.43,0,1,2,77,3.87,No,No,71,77,7,NotPlaced
8.25,1,2,0,77,4.55,Yes,No,56,74,20,NotPlaced
8.26,1,2,3,73,4.59,No,Yes,66,69,9,NotPlaced
8.85,1,1,2,82,4.36,Yes,Yes,76,70,18,Placed
6.62,1,2,2,76,4.03,No,No,60,63,16,NotPlaced
7.57,0,3,2,78,4.17,No,Yes,62,69,23,NotPlaced
7.89,1,1,1,90,4.48,Yes,Yes,77,75,24,Placed
7.63,1,2,0,73,3.72,No,Yes,69,76,8,NotPlaced
6.71,1,3,0,79,3.93,Yes,Yes,72,74,8,NotPlaced
8.23,2,2,0,81,4.62,Yes,Yes,71,73,18,Placed
7.96,1,3,2,86,4.53,Yes,Yes,83,80,24,Placed
8.87,2,3,3,88,4.54,Yes,Yes,76,79,22,Placed
7.62,0,2,1,80,4.74,No,No,63,74,12,NotPlaced
7.35,0,2,2,73,4.21,No,No,68,80,12,NotPlaced
6.96,2,1,0,82,4.08,Yes,No,70,68,9,NotPlaced
7.13,2,2,2,82,4.27,Yes,Yes,73,83,21,Placed
7.71,2,2,0,81,4.58,Yes,Yes,71,83,29,Placed
8.15,2,1,2,74,4.72,No,No,67,74,7,NotPlaced
6.5,2,3,3,82,4.06,No,Yes,74,62,2,NotPlaced
8.36,1,1,2,80,3.92,No,Yes,71,61,11,NotPlaced
8.25,1,1,2,81,4.42,Yes,Yes,90,77,19,Placed
8.01,0,3,2,86,4.31,Yes,Yes,78,77,20,Placed
8.33,1,2,2,84,4.24,Yes,Yes,71,80,24,Placed
7.0,0,2,0,70,3.88,No,Yes,69,71,11,NotPlaced
7.99,0,3,0,77,4.38,No,No,68,66,16,NotPlaced
7.54,1,2,2,68,4.65,No,No,55,70,8,NotPlaced
7.76,1,2,0,82,4.17,No,Yes,69,62,4,NotPlaced
7.7,2,1,1,87,4.64,Yes,Yes,79,79,20,Placed
7.81,0,2,2,83,4.25,No,Yes,62,73,8,NotPlaced
8.21,0,3,2,85,4.57,Yes,Yes,66,83,24,Placed
8.1,1,2,1,81,3.84,No,No,69,70,7,NotPlaced
7.7,2,2,0,71,4.08,No,No,63,76,19,NotPlaced
8.23,1,3,3,81,4.43,Yes,No,75,79,17,Placed
6.67,1,3,2,71,3.87,No,Yes,71,66,17,NotPlaced
8.38,1,2,1,88,4.26,Yes,Yes,61,77,23,Placed
8.2,0,2,0,84,4.56,Yes,Yes,74,73,23,Placed
7.23,0,2,2,80,4.35,No,No,64,68,15,NotPlaced
7.79,2,3,0,85,4.22,Yes,Yes,76,74,24,Placed
7.39,1,1,3,75,3.7,No,No,67,73,20,NotPlaced
7.82,1,3,2,88,4.31,Yes,Yes,75,88,25,Placed
7.49,0,3,2,80,3.77,Yes,No,67,71,16,NotPlaced
7.1,1,3,0,80,4.08,Yes,Yes,65,72,15,NotPlaced
8.05,1,3,0,85,4.61,Yes,No,83,84,30,Placed
7.75,0,2,0,87,4.46,Yes,Yes,90,78,24,Placed
8.08,2,1,1,87,4.8,Yes,Yes,71,78,23,Placed
8.47,1,2,2,88,4.32,Yes,Yes,71,78,16,Placed
7.62,1,3,1,79,4.16,No,No,66,70,15,NotPlaced
6.5,1,3,1,71,4.61,No,Yes,65,66,8,NotPlaced
8.37,0,3,0,82,4.27,Yes,Yes,68,73,17,Placed
8.28,0,3,2,83,4.15,Yes,No,72,74,24,Placed
6.75,2,3,1,71,4.31,No,No,68,62,16,NotPlaced
7.53,2,3,2,82,4.34,No,Yes,80,77,17,Placed
7.1,1,3,0,75,3.76,No,Yes,65,66,14,NotPlaced
8.06,2,3,2,86,4.75,Yes,Yes,76,80,22,Placed
7.29,0,3,0,76,4.75,No,No,68,78,15,NotPlaced
8.51,1,3,0,84,4.5,Yes,Yes,70,82,16,Placed
7.11,1,3,2,83,4.8,Yes,Yes,71,75,22,Placed
7.23,2,2,2,68,4.8,No,No,57,76,10,NotPlaced
7.2,1,3,0,72,4.11,No,No,65,70,11,NotPlaced
7.44,1,1,0,72,4.17,No,No,74,70,12,NotPlaced
6.94,0,1,0,78,4.07,No,No,65,77,17,NotPlaced
7.43,1,1,0,75,4.39,No,Yes,64,67,10,NotPlaced
7.63,1,1,0,77,4.43,No,Yes,63,81,13,NotPlaced
7.87,2,3,0,74,4.19,No,Yes,63,73,10,NotPlaced
7.03,0,1,0,73,3.62,No,No,68,69,6,NotPlaced
8.17,2,3,2,88,4.07,Yes,Yes,79,80,17,Placed
6.9,2,2,0,76,4.27,No,No,77,73,11,NotPlaced
7.97,1,3,2,81,4.56,No,No,67,64,7,NotPlaced
7.88,0,2,0,79,3.83,Yes,Yes,62,65,16,NotPlaced
7.67,1,2,0,82,4.64,Yes,No,81,85,20,Placed
8.4,2,1,2,76,4.01,No,No,67,79,8,NotPlaced
6.95,1,3,0,80,4.59,Yes,No,78,75,18,Placed
7.12,0,1,0,73,3.95,No,No,60,71,20,NotPlaced
7.9,0,2,2,80,4.06,No,Yes,68,74,11,NotPlaced
9.04,2,3,2,82,4.41,Yes,Yes,89,76,23,Placed
7.14,2,3,2,70,4.61,No,Yes,59,72,12,NotPlaced
8.28,2,3,0,90,4.32,Yes,Yes,73,82,22,Placed
8.72,2,2,2,82,4.32,Yes,Yes,85,75,17,Placed
7.48,1,2,2,75,3.79,No,No,56,72,15,NotPlaced
7.86,0,1,2,75,4.29,No,No,65,75,17,NotPlaced
8.2,0,2,1,76,4.04,No,No,68,67,21,NotPlaced
7.73,2,2,0,75,4.02,No,No,62,60,10,NotPlaced
8.41,1,2,2,86,4.35,Yes,Yes,68,77,24,Placed
8.36,1,1,2,77,4.51,No,Yes,69,77,25,Placed
7.93,2,2,0,78,4.09,Yes,Yes,74,70,12,NotPlaced
6.84,0,2,0,74,4.05,No,No,63,71,14,NotPlaced
7.23,0,2,2,80,3.91,No,No,61,72,14,NotPlaced
7.72,1,3,0,85,4.24,Yes,Yes,70,87,22,Placed
7.92,0,3,3,80,4.8,Yes,Yes,73,85,20,Placed
7.41,2,3,0,74,3.95,No,No,72,68,17,NotPlaced
7.29,0,1,1,88,4.24,Yes,Yes,77,85,14,Placed
8.68,2,3,0,82,4.8,Yes,Yes,71,79,21,Placed
7.67,1,2,0,75,4.34,No,Yes,65,73,12,NotPlaced
7.45,2,2,1,84,4.69,No,Yes,81,83,19,Placed
8.49,2,3,0,80,4.48,Yes,Yes,75,80,20,Placed
8.01,1,2,1,77,4.04,No,Yes,65,73,9,NotPlaced
7.77,1,3,0,73,4.2,No,No,62,67,7,NotPlaced
7.7,1,2,1,87,4.35,Yes,Yes,69,71,19,Placed
7.16,1,3,0,77,4.02,No,No,60,74,18,NotPlaced
7.4,0,3,2,78,4.43,No,Yes,65,75,18,NotPlaced
7.6,1,3,0,80,4.13,Yes,Yes,74,70,9,NotPlaced
7.42,0,3,1,67,4.63,No,Yes,75,72,8,NotPlaced
7.58,1,3,2,88,4.43,No,Yes,68,84,20,Placed
7.39,1,3,2,69,4.17,No,No,69,72,1,NotPlaced
7.07,1,2,0,73,4.19,No,No,73,70,5,NotPlaced
7.99,2,3,2,80,4.39,Yes,Yes,77,88,22,Placed
7.46,1,2,2,82,4.49,No,Yes,66,69,10,NotPlaced
7.84,1,3,2,74,4.36,No,Yes,70,77,17,NotPlaced
7.27,1,3,2,75,4.16,No,Yes,70,67,9,NotPlaced
7.56,2,3,1,84,4.39,Yes,Yes,82,79,27,Placed
7.37,1,3,2,85,4.8,Yes,Yes,79,88,21,Placed
7.39,0,3,1,67,4.29,No,Yes,64,78,16,NotPlaced
7.15,1,3,2,70,3.75,No,Yes,61,64,9,NotPlaced
7.11,2,2,0,67,4.05,No,No,64,76,6,NotPlaced
8.19,2,2,3,86,4.43,Yes,Yes,70,78,19,Placed
6.93,2,1,1,88,4.64,No,Yes,82,82,23,Placed
8.72,1,3,1,83,4.8,Yes,Yes,76,75,16,Placed
7.59,1,3,1,78,4.3,No,No,55,73,12,NotPlaced
7.19,1,2,1,78,4.55,No,No,60,67,10,NotPlaced
7.87,1,3,3,75,4.29,Yes,No,59,63,12,NotPlaced
7.53,2,3,2,85,4.54,Yes,Yes,81,79,25,Placed
7.63,0,3,0,77,3.52,No,No,63,71,17,NotPlaced
7.47,1,2,0,70,4.09,No,Yes,59,79,11,NotPlaced
8.43,1,3,0,88,4.46,Yes,Yes,75,79,17,Placed
7.28,1,2,0,70,4.22,Yes,Yes,66,77,11,NotPlaced
6.5,1,3,2,74,4.28,No,Yes,55,68,10,NotPlaced
7.31,1,2,0,81,3.98,No,No,71,77,23,NotPlaced
7.78,1,3,2,83,4.02,Yes,No,78,78,22,Placed
6.94,2,2,0,71,4.46,No,Yes,55,66,6,NotPlaced
7.49,1,2,0,77,4.22,No,Yes,63,73,16,NotPlaced
7.23,1,2,2,76,3.97,No,No,69,67,4,NotPlaced
7.22,0,3,0,74,4.31,No,Yes,70,61,18,NotPlaced
7.74,1,3,2,80,4.52,Yes,Yes,73,82,28,Placed
8.42,2,1,2,77,4.8,Yes,Yes,83,78,18,Placed
8.18,1,1,2,88,4.67,Yes,Yes,61,83,20,Placed
7.4,0,1,0,71,4.25,No,No,76,71,10,NotPlaced
6.74,2,3,0,76,4.54,Yes,Yes,64,70,15,NotPlaced
7.02,1,2,0,77,3.7,Yes,Yes,69,69,9,NotPlaced
7.09,1,0,1,79,3.76,No,No,62,77,3,NotPlaced
7.65,1,3,1,87,4.3,Yes,Yes,71,79,25,Placed
7.47,1,3,1,77,4.06,No,Yes,66,70,12,NotPlaced
7.61,2,3,2,72,4.16,No,No,62,77,4,NotPlaced
6.95,1,2,2,71,4.1,No,Yes,66,78,16,NotPlaced
7.56,1,2,0,76,4.41,No,No,59,69,15,NotPlaced
8.71,2,3,2,81,4.36,No,Yes,79,78,21,Placed
7.93,0,1,1,74,3.72,No,No,64,57,8,NotPlaced
6.6,1,3,2,75,4.15,No,No,65,76,11,NotPlaced
7.87,2,3,0,74,4.73,No,No,79,83,19,Placed
7.12,0,1,1,72,3.58,No,No,76,69,15,NotPlaced
8.24,1,3,0,83,4.17,No,Yes,77,82,19,Placed
8.14,1,3,2,82,4.72,Yes,Yes,67,88,25,Placed
7.45,0,3,2,72,4.42,No,No,65,67,4,NotPlaced
7.86,1,1,2,72,4.02,Yes,No,78,70,13,NotPlaced
6.65,0,2,0,75,4.13,No,No,68,74,14,NotPlaced
7.99,1,3,1,87,4.68,Yes,Yes,74,73,19,Placed
6.54,1,1,2,76,4.2,Yes,Yes,74,65,15,NotPlaced
6.72,1,2,2,82,3.85,No,Yes,71,74,16,NotPlaced
7.19,1,2,2,73,4.13,No,Yes,70,72,14,NotPlaced
7.5,1,3,2,80,4.08,No,No,67,71,6,NotPlaced
7.34,0,3,0,74,3.79,No,No,73,78,16,NotPlaced
8.63,1,3,2,83,4.39,Yes,Yes,70,78,26,Placed
8.26,1,2,0,69,4.14,No,No,61,72,22,NotPlaced
6.8,1,3,2,70,4.03,No,Yes,57,71,17,NotPlaced
7.56,1,2,3,78,4.19,No,Yes,67,78,3,NotPlaced
7.6,1,1,1,80,4.41,No,Yes,65,77,13,NotPlaced
7.77,0,3,0,67,4.02,No,No,66,68,9,NotPlaced
7.68,2,2,1,72,4.43,No,No,66,72,15,NotPlaced
6.75,0,1,0,76,3.63,No,Yes,62,70,12,NotPlaced
7.91,1,2,2,85,3.85,No,No,63,63,10,NotPlaced
7.54,1,2,0,73,4.37,No,No,73,74,15,NotPlaced
7.95,1,2,0,72,3.99,No,Yes,59,80,14,NotPlaced
7.3,1,3,1,77,4.1,No,No,55,70,12,NotPlaced
7.91,2,3,2,82,4.34,Yes,No,68,75,15,Placed
6.5,1,3,2,78,3.99,Yes,No,63,68,9,NotPlaced
6.57,1,1,1,76,4.27,No,No,67,67,15,NotPlaced
7.28,1,2,0,74,4.27,No,Yes,55,72,13,NotPlaced
8.28,2,1,2,87,4.34,No,Yes,75,82,18,Placed
8.3,1,3,2,87,4.8,Yes,Yes,74,81,18,Placed
7.68,0,3,2,84,4.46,Yes,No,68,84,18,Placed
7.8,1,3,2,86,4.12,Yes,Yes,65,77,17,Placed
7.45,0,3,3,74,3.71,No,Yes,63,65,8,NotPlaced
6.5,1,3,3,81,4.24,No,No,64,72,15,NotPlaced
7.13,1,2,2,90,4.29,No,Yes,74,84,20,Placed
7.0,0,3,1,78,3.86,No,Yes,73,73,5,NotPlaced
8.15,1,1,0,66,3.71,No,Yes,65,74,8,NotPlaced
8.15,0,1,2,79,3.87,No,No,70,69,5,NotPlaced
7.07,1,3,2,75,3.96,No,No,70,73,18,NotPlaced
7.27,1,1,1,75,4.32,No,Yes,63,68,9,NotPlaced
7.02,1,2,3,77,4.73,No,No,66,70,19,NotPlaced
6.74,0,2,1,72,4.53,No,Yes,73,71,7,NotPlaced
7.43,2,2,1,80,4.8,No,Yes,70,62,20,NotPlaced
8.08,1,3,0,83,4.8,Yes,Yes,77,79,23,Placed
7.12,1,3,2,77,4.48,No,No,58,67,15,NotPlaced
7.16,0,2,1,65,4.55,Yes,No,73,69,12,NotPlaced
6.81,1,2,2,83,4.11,No,No,69,77,8,NotPlaced
7.31,1,0,0,76,4.37,No,Yes,67,80,7,NotPlaced
8.26,1,1,0,70,4.35,No,No,70,63,6,NotPlaced
8.67,0,1,3,82,4.4,Yes,Yes,74,81,24,Placed
8.45,2,3,2,86,4.27,Yes,Yes,70,73,21,Placed
8.12,2,1,1,89,4.3,Yes,Yes,75,81,24,Placed
6.76,1,2,0,76,3.86,No,No,68,66,16,NotPlaced
7.2,1,2,0,72,4.26,No,No,71,75,8,NotPlaced
7.12,0,2,1,85,4.05,No,No,68,73,1,NotPlaced
7.53,2,3,1,88,4.75,Yes,Yes,69,79,21,Placed
6.53,1,2,1,83,4.43,No,Yes,64,61,19,NotPlaced
7.46,1,1,2,80,4.44,Yes,Yes,78,79,28,Placed
8.92,1,3,2,83,4.37,Yes,Yes,76,79,19,Placed
7.46,1,3,2,69,4.58,No,Yes,58,70,2,NotPlaced
7.41,0,3,1,75,3.95,No,Yes,75,74,9,NotPlaced
6.58,1,2,0,64,4.58,No,Yes,66,74,14,NotPlaced
7.18,0,0,2,77,4.32,No,Yes,61,65,13,NotPlaced
7.2,2,2,0,76,4.34,No,No,66,65,13,NotPlaced
7.81,1,1,2,66,4.27,No,No,62,71,13,NotPlaced
7.88,2,2,0,76,4.68,No,Yes,67,75,16,NotPlaced
7.72,2,2,1,85,4.37,No,No,75,76,13,NotPlaced
8.1,1,1,2,90,4.2,Yes,No,66,76,20,Placed
8.32,2,2,2,82,4.56,Yes,Yes,87,83,22,Placed
7.44,1,2,2,74,4.19,No,No,65,68,11,NotPlaced
7.97,0,3,2,83,4.5,Yes,Yes,85,78,21,Placed
8.55,0,3,2,88,4.61,Yes,Yes,79,82,22,Placed
7.78,1,3,2,83,4.42,Yes,Yes,80,80,22,Placed
6.81,1,3,1,82,4.21,No,No,69,61,17,NotPlaced
7.83,1,2,0,68,4.33,No,No,55,71,12,NotPlaced
7.86,0,3,0,84,4.41,Yes,Yes,71,85,23,Placed
8.49,1,2,2,83,4.58,Yes,No,79,84,23,Placed
8.0,2,3,2,76,4.21,Yes,Yes,81,76,27,Placed
7.54,0,2,1,80,4.8,No,No,63,70,15,NotPlaced
7.31,1,3,2,65,4.08,No,No,59,66,10,NotPlaced
8.24,1,2,3,90,4.01,Yes,Yes,64,84,21,Placed
8.96,1,3,2,87,4.23,Yes,Yes,76,83,25,Placed
8.19,1,3,2,86,4.53,Yes,Yes,80,68,22,Placed
7.43,0,3,2,68,3.95,No,Yes,64,75,11,NotPlaced
7.22,0,3,2,78,4.49,No,Yes,68,62,20,NotPlaced
8.19,1,3,2,85,4.34,Yes,No,73,79,15,Placed
7.16,0,2,0,79,4.23,No,Yes,68,77,4,NotPlaced
8.54,2,3,2,75,4.52,Yes,Yes,87,77,17,Placed
7.69,0,3,2,80,3.99,No,Yes,72,68,10,NotPlaced
7.4,1,3,0,79,4.09,Yes,No,70,69,9,NotPlaced
8.03,2,3,2,84,4.66,Yes,Yes,73,82,22,Placed
8.1,1,3,3,81,4.59,No,Yes,75,77,25,Placed
7.27,1,2,0,73,3.88,No,Yes,56,72,9,NotPlaced
7.52,2,0,2,83,3.7,No,No,65,72,14,NotPlaced
8.27,2,3,1,78,4.44,No,Yes,65,61,11,NotPlaced
8.52,1,2,1,83,4.66,Yes,Yes,79,78,20,Placed
7.69,1,3,1,75,4.4,Yes,Yes,76,88,23,Placed
7.24,1,1,1,86,4.56,Yes,No,79,79,17,Placed
7.78,2,3,0,85,4.53,Yes,No,77,76,22,Placed
7.11,1,3,0,78,4.02,No,No,71,72,7,NotPlaced
7.32,1,3,0,76,4.28,No,Yes,68,76,9,NotPlaced
8.32,1,2,2,77,4.01,No,No,66,75,12,NotPlaced
7.92,1,3,1,78,4.79,No,No,71,69,13,NotPlaced
8.19,2,2,3,90,4.8,Yes,Yes,76,79,16,Placed
7.18,1,2,2,73,4.35,No,No,69,73,8,NotPlaced
